(-998.0062,-5801.8276,1581.7548),
(-1298.2192,-5629.88,1581.7548),
(777.9978,-5628.8276,1581.7548),
(679.5194,-5799.397,1581.7548),
(779.1887,-5973.4155,1581.7548),
(977.3411,-5974.1,1581.7548),
(1078.2108,-5800.775,1581.7548),
(-2135.931,-5629.187,1581.7548),
(-2434.9482,-5800.4497,1581.7548),
(-2137.1265,-5975.153,1581.7548),
(978.5368,-5628.1343,1581.7548),
(-4832.5503,-502.9116,2249.7273),
(-5003.12,-601.39,2249.7273),
(-4658.5317,-602.5809,2249.7273),
(-4658.5317,-801.929,2249.7273),
(-501.61,-6801.929,1581.7548),
(2156.134,-4194.2993,1906.9695),
(-5003.813,-801.929,2249.7273),
(-675.6283,-6901.598,1581.7548),
(1988.4121,-4194.2373,1682.447),
(-4832.5503,-901.5982,2249.7273),
(-846.891,-6801.929,1581.7548),
(-846.198,-6601.39,1581.7548),
(-675.6283,-6502.9116,1581.7548),
(-501.61,-6602.581,1581.7548),
(-5697.762,998.071,2249.7273),
(-6043.0435,998.071,2249.7273),
(-5871.781,898.4018,2249.7273),
(-5871.781,1297.0884,2249.7273),
(-6042.3506,1198.61,2249.7273),
(-4732.694,924.4198,2249.7273),
(-5030.5156,1099.1229,2249.7273),
(-5697.762,1197.4191,2249.7273),
(-4731.4985,1270.3856,2249.7273),
(-4213.0786,1824.4198,2249.7273),
(-4510.9004,1999.1229,2249.7273),
(-4211.8833,2170.3855,2249.7273),
(-3923.6785,-2034.2434,2378.2368),
(-3769.5273,-2260.5518,2437.928),
(-3757.081,-1846.3307,2253.838),
(-4510.9004,-1600.8771,2249.7273),
(-4213.0786,-1775.5802,2249.7273),
(-4211.8833,-1429.6144,2249.7273),
(-1713.8789,-6901.598,1581.7548),
(-1539.8606,-6801.929,1581.7548),
(-5450.462,1825.1046,2249.7273),
(-5550.131,1999.1229,2249.7273),
(-5151.4395,1997.7451,2249.7273),
(-5252.309,1824.4198,2249.7273),
(-5451.653,2169.6926,2249.7273),
(-5251.114,2170.3855,2249.7273),
(-1884.4486,-6601.39,1581.7548),
(-1885.1416,-6801.929,1581.7548),
(-1539.8606,-6602.581,1581.7548),
(-1713.8789,-6502.9116,1581.7548),
(1726.544,-4242.2837,1769.9551),
(1996.1042,-3938.2346,1568.6731),
(2168.5803,-3780.0781,1722.8795),
(1572.393,-4015.9753,1710.2642),
(-3892.807,3069.6926,2249.7273),
(1738.9904,-3828.0627,1585.8651),
(-3891.616,2725.1045,2249.7273),
(2011.4948,-4016.1377,2298.0718),
(2178.092,-3828.2249,2173.6726),
(1732.4226,-4272.04,2048.5605),
(1997.924,-4242.384,2133.2402),
(-5451.653,369.6926,2249.7273),
(-5251.114,370.3856,2249.7273),
(-5450.462,25.1046,2249.7273),
(-5550.131,199.1229,2249.7273),
(-5151.4395,197.7451,2249.7273),
(-5252.309,24.4198,2249.7273),
(-3592.594,2897.745,2249.7273),
(-2657.095,-6875.236,1581.7548),
(-2855.2476,-6874.551,1581.7548),
(-2556.2253,-6701.9106,1581.7548),
(-2655.8994,-6529.27,1581.7548),
(-2954.9167,-6700.5327,1581.7548),
(-2856.4382,-6529.963,1581.7548),
(-258.2741,-5629.88,1581.7548),
(41.9389,-5801.8276,1581.7548),
(-780.187,-5074.0405,1581.7548),
(-781.3779,-4729.4526,1581.7548),
(-481.1649,-4901.4,1581.7548),
(-257.0833,-5974.468,1581.7548),
(-3692.2678,-4729.6143,1581.7548),
(-5351.8584,-5202.053,1081.7548),
(-4831.599,-6101.444,1081.7548),
(-3693.4634,-6875.58,1581.7548),
(-3991.2854,-6700.877,1581.7548),
(-3692.2678,-6529.6143,1581.7548),
(-3693.4634,-5075.58,1581.7548),
(-3991.2854,-4900.877,1581.7548),
(-6290.344,370.3856,2249.7273),
(262.1707,-5074.468,1581.7548),
(260.9799,-4729.88,1581.7548),
(561.1929,-4901.8276,1581.7548),
(-2235.7815,-7000.8345,1081.7548),
(-1193.8658,-7002.255,1081.7548),
(-4311.557,-7002.255,1081.7548),
(-3272.3267,-7002.255,1081.7548),
(1404.2104,-6102.255,1081.7548),
(-5350.7876,797.7451,1749.7274),
(-154.6353,-7002.255,1081.7548),
(-6291.5396,24.4198,2249.7273),
(884.5952,-7002.255,1081.7548),
(-6589.3613,199.1229,2249.7273),
(1600.7845,-4901.8276,1581.7548),
(-3478.0205,-5800.1055,1581.7548),
(1499.9149,-5075.153,1581.7548),
(-3180.1987,-5974.8086,1581.7548),
(-674.2505,-6102.053,1081.7548),
(-4831.1724,1697.7451,1749.7274),
(1301.7625,-5074.468,1581.7548),
(1202.0931,-4900.4497,1581.7548),
(-3179.0032,-5628.843,1581.7548),
(1300.5717,-4729.88,1581.7548),
(1501.1105,-4729.187,1581.7548),
(561.5541,-6701.8276,1581.7548),
