Actuator ID,x,y,z
'M-14B-e,-12.4060386,3.979235316,-217.5326576
'M-14B-f,-12.51382114,4.004185708,-217.6313048
'RS-12A,-12.15377049,3.767970396,-217.416482
'RS-12B,-11.69291302,3.592846281,-217.4563665
'RS-12A',-12.0740453,3.326921949,-217.6256925
'M-12A'-e,-12.02920287,3.423267021,-217.5304985
'M-12A'-f,-11.88352018,3.438984665,-217.5081291
'M-12B-e,-11.83136758,3.561300698,-217.4426294
'M-12B-f,-11.9249006,3.667887289,-217.3994814
'M-12A-e,-12.07058266,3.652190696,-217.4218853
'M-12A-f,-12.12273501,3.52988014,-217.4874061
'RS-11A,-11.82775834,3.8397805,-217.3721451
'RS-14A',-12.3625186,3.599994423,-217.5729106
'M-14A'-e,-12.4283999,3.726541526,-217.5721404
'M-14A'-f,-12.36333479,3.840411268,-217.5030673
'M-14A-f,-12.53614271,3.751491611,-217.6708346
'M-14A-e,-12.57886236,3.890318919,-217.7004103
'RS-14A,-12.65236737,3.915514023,-217.8200622
'RS-13A,-12.50714364,4.194625497,-217.6935501
'RS-13C,-12.07289888,4.320592944,-217.4930194
'RS-13D,-12.26158463,4.589093503,-217.8630924
'M-13D-e,-12.28900413,4.505194823,-217.751009
'M-13D-f,-12.40664969,4.415183617,-217.7563366
'M-13A-e,-12.41649169,4.300466419,-217.6629842
'M-13A-f,-12.30869785,4.275785291,-217.5642723
'M-13C-e,-12.19108107,4.36583575,-217.558907
'M-13C-f,-12.18122378,4.48052681,-217.6522862
'RS-11B,-11.5038931,4.183245722,-217.5197655
'RS-11A',-11.3959056,3.70327826,-217.5709394
'M-11A'-e,-11.46633479,3.801988697,-217.4957657
'M-11A'-f,-11.42899108,3.944456165,-217.5124793
'M-11B-e,-11.5223888,4.051120437,-217.4692252
'M-11B-f,-11.65311949,4.015315053,-217.4092391
'M-11A-e,-11.69048411,3.87284656,-217.39256
'M-11A-f,-11.59709231,3.766178965,-217.4358348
'RS-10A,-11.77654928,4.171542154,-217.4184216
'RS-10C,-11.50569461,4.461635019,-217.7136041
'RS-10D,-11.99065744,4.544530438,-217.6627293
'M-10D-e,-11.87143695,4.495017112,-217.6019971
'M-10D-f,-11.88124812,4.380326102,-217.508613
'M-10A-e,-11.7603016,4.301435516,-217.4751497
'M-10A-f,-11.62952942,4.337265948,-217.5350457
'M-10C-e,-11.61971073,4.451996962,-217.6283836
'M-10C-f,-11.74066498,4.530859393,-217.6618748
